RedSox							
448	167	39	2				
31	Greg	3	t	739	73	86	173
329	66	1	6				
14	Stephen	4	t	668	48	58	174
429	109	18	6				
18	Didi	6	t	674	36	61	239
527	139	32	3				
12	Chase	5	t	608	64	107	161
365	91	2	6				
63	Jose	4	t	751	54	136	136
418	78	13	2				
64	Robert	4	t	728	47	106	158
435	72	7	2				
17	Brendan	4	t	724	61	67	178
420	106	31	2				
29	Dustin	7	t	646	69	90	172
507	131	24	1				
36	Carlos	9	t	600	55	103	142
410	99	4	4				
22	Jacoby	8	f	723	46	47	156
520	56	1	3				
11	Brett	7	f	606	35	132	160
447	144	29	1				
72	Slade	8	f	597	55	107	145
439	77	25	2				
70	Rico	9	t	711	24	91	285
476	193	44	7				
25	Chris	9	t	634	37	113	168
475	81	7	3				
-1							
BlueJays							
56	Mark	1	f	484	23	69	135
229	36						
27	Brett	1	f	446	34	69	129
240	40						
50	Steve	1	t	482	33	81	117
276	42						
43	RA	1	t	422	35	79	97
279	42						
25	Marco	1	t	482	30	74	114
267	37						
35	Jeff	1	f	450	35	69	110
251	35						
32	LaTroy	1	t	442	23	73	63
287	40						
31	Liam	1	t	418	28	81	110
277	37						
36	Drew	1	t	413	29	86	91
276	40						
64	Chad	1	t	463	30	69	107
278	34						
62	Aaron	1	f	443	36	70	106
305	39						
57	Mark	1	t	414	26	65	124
257	37						
54	Roberto	1	t	465	23	64	133
272	37						
14	David	1	f	475	29	59	131
221	42						
41	Aaron	1	t	451	20	66	118
285	40						
8	AJ	2	t	671	48	127	166
440	59	13	2				
55	Russell	2	t	711	54	87	160
330	87	10	2				
30	Dioner	2	t	755	42	78	122
477	84	23	4				
15	Chris	3	t	667	52	85	139
484	58	12	3				
20	Josh	5	t	666	69	110	165
491	53	9	1				
17	Ryan	4	t	671	23	98	149
462	98	25	2				
9	Cliff	4	t	584	80	103	186
486	52	15	4				
13	Justin	3	f	716	44	94	174
418	90	6	3				
2	Troy	6	t	724	42	96	140
439	63	18	2				
19	Jose	9	t	783	48	127	263
472	160	31	1				
3	Ezequiel	7	f	648	63	114	150
386	83	20	2				
11	Kevin	8	t	738	45	89	174
418	171	34	1				
45	Dalton	8	t	702	40	114	271
377	127	33	2				
7	Ben	7	t	683	41	108	164
420	95	6	4				
-1							
Orioles							
35	Brad	1	t	431	39	76	128
256	35						
53	Zach	1	f	496	34	50	86
263	37						
16	Wei-yin	1	f	395	28	65	119
261	43						
71	Oliver	1	t	469	23	68	117
265	41						
61	Jason	1	t	424	24	62	113
266	36						
39	Kevin	1	t	421	36	65	114
252	42						
60	Mychal	1	t	437	29	72	130
287	40						
50	Miguel	1	t	452	35	70	91
260	40						
31	Ubaldo	1	t	408	39	76	89
250	39						
52	Steve	1	t	432	35	70	107
283	43						
17	Brian	1	f	468	31	68	124
250	40						
66	T.J.	1	f	425	33	73	100
268	39						
56	Darren	1	t	435	32	83	107
292	39						
65	Chaz	1	t	420	20	51	83
255	37						
57	Jorge	1	t	447	22	64	102
266	36						
30	Chris	1	t	433	42	74	98
249	36						
63	Tyler	1	t	462	30	76	97
306	39						
59	Mike	1	t	394	33	70	136
316	41						
45	Steve	2	t	734	61	143	155
497	63	1	3				
36	Caleb	2	t	600	53	89	182
443	52	11	0				
32	Matt	2	t	688	61	107	131
498	51	0	2				
19	Chris	3	t	700	44	97	105
482	59	0	2				
3	Ryan	4	t	794	39	94	183
480	96	31	2				
2	J.J.	6	t	735	57	109	180
459	150	35	1				
15	Paul	6	t	807	36	109	155
576	86	1	1				
13	Manny	5	t	732	43	69	151
462	50	11	3				
6	Jonathan	4	t	818	48	77	161
442	63	19	4				
34	Christian	3	t	679	44	120	141
492	64	21	3				
12	Dariel	9	t	611	62	109	187
464	122	35	2				
10	Adam	8	t	683	44	105	183
480	131	28	3				
48	Junior	7	t	758	54	135	156
468	118	12	3				
9	David	7	f	666	48	98	161
450	40	11	0				
18	Gerardo	9	f	755	37	88	227
479	128	40	3				
28	Steve	7	t	686	77	79	175
503	119	22	6				
14	Nolan	7	t	750	61	100	154
406	68	7	6				
-1							
Rays							
35	Matt	1	t	435	25	63	91
229	37						
22	Chris	1	t	408	23	66	92
257	41						
59	Andrew	1	t	462	30	66	116
275	33						
26	Brad	1	t	414	31	73	121
285	41						
31	Xavier	1	f	465	34	65	101
246	41						
37	Alex	1	t	450	23	62	122
299	41						
54	Steven	1	t	453	34	87	99
268	42						
47	Brandon	1	t	448	24	76	112
249	40						
51	Nathan	1	f	450	22	68	97
292	40						
57	Jake	1	f	410	30	86	111
245	40						
55	Matt	1	t	413	35	67	114
272	39						
23	Jake	1	t	431	28	62	90
241	41						
30	Erasmo	1	t	477	37	29	112
297	39						
34	C.J.	1	f	449	28	76	96
259	39						
45	Enny	1	f	430	29	69	117
232	39						
33	Drew	1	f	424	31	83	108
249	43						
49	Kirby	1	t	395	24	65	142
261	43						
40	J.P.	2	t	673	43	125	179
432	109	31	2				
46	Luke	2	t	652	62	136	210
408	221	42	0				
44	Rene	2	t	737	43	103	174
482	68	1	3				
1	Tim	4	t	693	48	108	173
429	171	32	2				
13	Asdrubal	6	t	748	51	110	140
501	47	8	4				
11	Logan	4	t	602	51	118	156
430	110	0	3				
2	Nick	4	t	1172	52	84	235
546	173	35	4				
21	James	3	t	702	62	107	239
437	113	32	1				
3	Evan	5	t	686	67	112	154
486	69	18	3				
36	Richie	3	t	724	40	89	157
461	69	0	2				
5	Brandon	1	t	451	33	73	88
279	43						
39	Kevin	1	t	455	37	69	92
262	39						
27	Mikie	1	t	427	26	72	98
262	36						
7	Daniel	1	t	422	25	67	98
285	39						
24	Grady	1	t	408	32	75	117
246	42						
20	Steven	1	t	447	18	59	113
272	39						
-1							
NoHitters							
35	Matt	1	t	435	25	63	91
229	37						
22	Chris	1	t	408	23	66	92
257	41						
59	Andrew	1	t	462	30	66	116
275	33						
26	Brad	1	t	414	31	73	121
285	41						
31	Xavier	1	f	465	34	65	101
246	41						
37	Alex	1	t	450	23	62	122
299	41						
54	Steven	1	t	453	34	87	99
268	42						
47	Brandon	1	t	448	24	76	112
249	40						
51	Nathan	1	f	450	22	68	97
292	40						
57	Jake	1	f	410	30	86	111
245	40						
55	Matt	1	t	413	35	67	114
272	39						
23	Jake	1	t	431	28	62	90
241	41						
30	Erasmo	1	t	477	37	29	112
297	39						
34	C.J.	1	f	449	28	76	96
259	39						
-1							
NoPitchers							
44	Rene	2	t	737	43	103	174
482	68	1	3				
1	Tim	4	t	693	48	108	173
429	171	32	2				
13	Asdrubal	6	t	748	51	110	140
501	47	8	4				
11	Logan	4	t	602	51	118	156
430	110	0	3				
2	Nick	4	t	1172	52	84	235
546	173	35	4				
21	James	3	t	702	62	107	239
437	113	32	1				
3	Evan	5	t	686	67	112	154
486	69	18	3				
36	Richie	3	t	724	40	89	157
461	69	0	2				
-1							
